EmployeeID,Department,HireDate,EndDate,EmployeeStatus
108,IT,2021-01-08,,Active
109,IT,2022-04-27,2023-11-13,Inactive
110,IT,2022-05-04,2023-03-10,Inactive
111,IT,2023-12-03,2023-12-09,Inactive
112,Sales,2022-01-06,2022-08-15,Inactive
113,IT,2021-04-07,,Active
114,Finance,2021-06-18,2021-08-18,Inactive
115,Operations,2023-01-11,2023-11-27,Inactive
116,Finance,2021-11-22,,Active
117,Sales,2022-03-04,2023-02-14,Inactive
118,IT,2023-12-18,2023-12-21,Inactive
119,HR,2022-07-28,,Active
120,Sales,2023-02-12,,Active
121,Marketing,2021-06-19,,Active
122,IT,2021-03-16,2022-04-29,Inactive
123,IT,2023-08-02,,Active
124,IT,2023-03-28,2023-11-21,Inactive
125,IT,2022-06-11,2023-05-09,Inactive
126,Finance,2023-11-09,2023-11-15,Inactive
127,Marketing,2021-12-25,,Active
128,Finance,2023-12-21,,Active
129,IT,2021-11-01,2022-11-17,Inactive
130,Sales,2023-12-15,,Active
131,HR,2022-05-31,,Active
132,IT,2021-03-30,,Active
133,Finance,2022-11-19,2023-01-08,Inactive
134,Finance,2021-08-03,2023-09-04,Inactive
135,IT,2021-10-22,2021-11-13,Inactive
136,Marketing,2021-04-25,2021-09-27,Inactive
137,Marketing,2021-07-31,,Active
138,Finance,2022-10-19,,Active
139,HR,2021-11-29,2023-02-02,Inactive
140,IT,2023-05-31,,Active
141,Operations,2021-09-19,2022-08-24,Inactive
142,HR,2022-08-29,,Active
143,HR,2022-02-07,2023-12-01,Inactive
144,Sales,2023-08-01,2023-12-19,Inactive
145,HR,2022-04-29,2022-05-23,Inactive
146,Operations,2022-06-09,,Active
147,IT,2021-01-16,2021-06-21,Inactive
148,Operations,2022-06-01,,Active
149,Finance,2022-11-13,,Active
150,Operations,2022-01-17,,Active
151,HR,2022-03-24,2023-09-11,Inactive
152,Marketing,2022-11-08,2023-08-27,Inactive
153,Sales,2022-12-28,2023-03-09,Inactive
154,Marketing,2023-09-29,,Active
155,Finance,2022-11-19,,Active
156,Operations,2021-11-01,2023-03-15,Inactive
157,IT,2021-07-08,2022-01-25,Inactive
158,Marketing,2022-04-17,2022-10-07,Inactive
159,HR,2021-04-05,2022-03-17,Inactive
160,Finance,2023-05-06,,Active
161,Finance,2022-11-01,,Active
162,Marketing,2021-08-21,2022-04-16,Inactive
163,Operations,2023-05-21,2023-12-02,Inactive
164,HR,2023-07-09,,Active
165,HR,2021-03-11,2023-08-28,Inactive
166,IT,2021-06-21,2022-01-20,Inactive
167,Operations,2022-04-29,,Active
168,Sales,2023-02-06,,Active
169,Operations,2021-01-06,,Active
170,Marketing,2021-02-27,2022-05-23,Inactive
171,HR,2021-09-07,,Active
172,HR,2022-10-07,,Active
173,Finance,2023-12-27,,Active
174,Marketing,2022-08-06,2023-12-25,Inactive
175,Sales,2023-03-28,2023-04-14,Inactive
176,Operations,2022-03-24,2023-06-06,Inactive
177,Finance,2021-10-30,2023-06-03,Inactive
178,Operations,2021-11-18,2022-05-22,Inactive
179,Operations,2021-06-28,,Active
180,Sales,2021-04-19,2022-08-27,Inactive
181,Sales,2021-09-19,2023-11-28,Inactive
182,IT,2022-12-28,,Active
183,IT,2022-01-14,2023-07-01,Inactive
184,Operations,2022-04-09,,Active
185,IT,2023-10-01,,Active
186,Operations,2021-03-21,,Active
187,Marketing,2023-07-29,2023-11-04,Inactive
188,Finance,2022-11-06,2023-02-15,Inactive
189,Operations,2022-05-13,2022-07-03,Inactive
190,Operations,2022-02-26,2023-02-19,Inactive
191,Marketing,2023-07-25,2023-08-12,Inactive
192,IT,2021-04-11,,Active
193,Operations,2023-07-20,,Active
194,Finance,2023-03-25,2023-08-03,Inactive
195,Sales,2023-06-24,,Active
196,Finance,2023-08-03,,Active
197,Finance,2021-03-15,,Active
198,Operations,2022-09-07,,Active
199,Marketing,2021-04-02,,Active
200,HR,2021-04-04,,Active
201,IT,2021-10-16,,Active
202,Finance,2022-06-25,,Active
203,Marketing,2022-10-03,,Active
204,Operations,2021-07-24,,Active
205,Marketing,2023-07-20,2023-08-16,Inactive
206,Sales,2022-07-11,2022-11-20,Inactive
207,IT,2023-08-05,,Active
208,Sales,2021-01-05,,Active
209,Operations,2023-02-04,,Active
210,Operations,2021-03-23,,Active
211,HR,2022-08-15,,Active
212,Operations,2021-10-19,,Active
213,HR,2022-01-08,2022-07-31,Inactive
214,IT,2021-10-20,2022-10-19,Inactive
215,Operations,2022-11-28,2023-11-26,Inactive
216,Marketing,2023-04-20,,Active
217,IT,2022-03-14,2023-08-17,Inactive
218,Operations,2021-08-03,2023-03-07,Inactive
219,IT,2022-12-23,,Active
220,IT,2023-11-01,,Active
221,Finance,2022-04-28,,Active
222,Operations,2022-01-07,2023-06-21,Inactive
223,IT,2021-02-20,2021-10-11,Inactive
224,Sales,2021-12-31,2022-08-06,Inactive
225,IT,2023-12-29,2023-12-29,Inactive
226,Operations,2021-05-17,2023-10-16,Inactive
227,IT,2022-05-26,2022-09-29,Inactive
228,Sales,2022-06-19,,Active
229,Operations,2021-10-15,2022-05-28,Inactive
230,IT,2022-08-28,,Active
231,Marketing,2022-03-09,,Active
232,IT,2021-05-19,2022-01-10,Inactive
233,Finance,2022-10-13,2023-05-24,Inactive
234,HR,2023-09-24,,Active
235,Sales,2022-10-13,2023-08-21,Inactive
236,Sales,2021-04-07,2023-06-26,Inactive
237,Finance,2022-02-14,2022-08-14,Inactive
238,Operations,2023-08-30,2023-10-16,Inactive
239,Sales,2022-06-03,,Active
240,Finance,2021-09-11,2022-12-31,Inactive
241,Finance,2021-04-24,2023-12-18,Inactive
242,IT,2022-05-02,,Active
243,IT,2023-03-20,,Active
244,Marketing,2021-10-01,2022-05-19,Inactive
245,Finance,2021-09-25,,Active
246,Operations,2023-02-11,,Active
247,Marketing,2023-12-11,2023-12-31,Inactive
248,IT,2023-09-09,2023-12-05,Inactive
249,IT,2023-10-21,2023-12-14,Inactive
250,IT,2022-10-17,,Active
251,Finance,2021-10-28,,Active
252,HR,2023-01-16,,Active
253,HR,2021-02-21,,Active
254,IT,2021-03-14,2022-12-07,Inactive
255,HR,2023-04-22,2023-12-23,Inactive
256,HR,2022-01-12,2023-01-20,Inactive
257,Sales,2021-04-30,,Active
258,IT,2023-04-27,,Active
259,Finance,2023-09-20,2023-09-29,Inactive
260,Sales,2023-11-19,2023-12-14,Inactive
261,IT,2021-01-04,2022-02-07,Inactive
262,Finance,2023-01-28,,Active
263,HR,2022-04-14,2023-10-22,Inactive
264,Operations,2021-10-15,,Active
265,HR,2023-11-19,2023-11-25,Inactive
266,HR,2023-11-17,,Active
267,IT,2021-05-26,,Active
268,Sales,2022-02-11,2023-11-03,Inactive
269,IT,2023-10-23,2023-11-14,Inactive
270,Marketing,2023-09-15,2023-11-10,Inactive
271,Operations,2022-06-10,,Active
272,Operations,2021-10-17,2023-11-15,Inactive
273,HR,2021-12-22,2023-04-07,Inactive
274,Operations,2021-09-22,,Active
275,HR,2023-01-29,2023-02-10,Inactive
276,Finance,2022-06-26,,Active
277,Operations,2021-10-01,,Active
278,Operations,2021-12-25,,Active
279,Marketing,2021-11-06,2022-09-25,Inactive
280,Finance,2021-11-13,,Active
281,HR,2021-07-26,2023-12-28,Inactive
282,IT,2023-04-13,2023-07-14,Inactive
283,Sales,2022-05-03,2022-05-15,Inactive
284,Marketing,2022-12-31,,Active
285,Sales,2023-01-12,2023-12-02,Inactive
286,Finance,2022-01-20,,Active
287,IT,2023-07-25,,Active
288,HR,2021-02-02,2023-05-05,Inactive
289,Marketing,2021-08-13,2023-04-07,Inactive
290,Finance,2021-09-22,2023-01-28,Inactive
291,Finance,2023-06-29,2023-08-24,Inactive
292,Finance,2021-06-21,,Active
293,Operations,2023-06-19,,Active
294,Finance,2022-04-20,,Active
295,Sales,2021-01-10,2021-12-25,Inactive
296,IT,2023-02-24,2023-12-17,Inactive
297,Sales,2023-07-18,,Active
298,Operations,2022-07-15,2022-11-15,Inactive
299,Marketing,2023-08-15,2023-12-10,Inactive
300,Sales,2022-07-10,2023-11-07,Inactive
301,IT,2021-09-25,,Active
302,Marketing,2021-06-07,2023-02-08,Inactive
303,Marketing,2022-06-14,,Active
304,Sales,2023-12-02,2023-12-24,Inactive
305,HR,2023-02-10,2023-12-17,Inactive
306,Marketing,2021-02-28,2023-07-03,Inactive
307,Operations,2023-06-15,2023-11-05,Inactive
308,Finance,2023-10-11,,Active
309,HR,2023-08-27,2023-12-25,Inactive
310,Finance,2021-01-29,2021-06-03,Inactive
311,Operations,2021-08-20,2021-09-09,Inactive
312,Sales,2022-12-30,,Active
313,Operations,2023-02-22,2023-08-24,Inactive
314,IT,2023-09-01,2023-11-05,Inactive
315,Operations,2021-01-28,,Active
316,IT,2021-01-10,2022-08-28,Inactive
317,Operations,2021-04-04,,Active
318,Sales,2023-10-24,2023-11-04,Inactive
319,Sales,2021-05-28,,Active
320,Sales,2022-07-08,,Active
321,Sales,2022-06-26,2023-02-15,Inactive
322,HR,2021-05-05,,Active
323,HR,2023-11-21,,Active
324,Sales,2021-04-26,,Active
325,Finance,2023-09-12,,Active
326,Operations,2023-05-17,,Active
327,Finance,2021-10-29,2023-10-25,Inactive
328,Marketing,2023-05-17,,Active
329,Operations,2023-10-23,2023-12-31,Inactive
330,HR,2021-09-28,2022-04-28,Inactive
331,IT,2021-07-22,,Active
332,Finance,2021-07-26,,Active
333,Sales,2022-03-29,2022-09-19,Inactive
334,Sales,2021-01-16,2022-05-14,Inactive
335,IT,2022-08-08,2023-08-31,Inactive
336,Operations,2022-07-13,2023-03-21,Inactive
337,Finance,2021-01-20,2023-12-11,Inactive
338,Marketing,2022-10-27,2023-12-19,Inactive
339,Marketing,2022-06-20,2023-01-08,Inactive
340,HR,2023-11-18,2023-12-25,Inactive
341,Operations,2023-08-09,2023-09-10,Inactive
342,HR,2022-07-03,2023-08-15,Inactive
343,IT,2023-11-06,2023-12-28,Inactive
344,IT,2023-06-02,2023-07-26,Inactive
345,Marketing,2023-10-18,,Active
346,Operations,2023-01-16,2023-12-04,Inactive
347,Sales,2023-12-04,2023-12-09,Inactive
348,Finance,2021-06-29,,Active
349,Sales,2023-09-24,,Active
350,Marketing,2022-03-25,2022-12-21,Inactive
351,Sales,2022-10-11,2022-11-22,Inactive
352,Finance,2021-11-07,,Active
353,HR,2022-08-23,,Active
354,Finance,2023-01-29,,Active
355,Marketing,2022-10-23,,Active
356,HR,2022-01-23,,Active
357,HR,2022-06-14,,Active
358,HR,2023-05-17,,Active
359,IT,2023-03-01,2023-09-15,Inactive
360,Operations,2022-02-24,,Active
361,Finance,2022-07-24,2022-12-29,Inactive
362,Marketing,2023-12-02,,Active
363,Operations,2021-03-03,,Active
364,Sales,2022-01-30,,Active
365,Finance,2021-01-21,2023-03-28,Inactive
366,Sales,2021-04-11,2023-07-11,Inactive
367,Finance,2022-05-13,2023-01-26,Inactive
368,Finance,2023-11-28,,Active
369,Sales,2021-06-10,,Active
370,Marketing,2022-02-10,2022-12-17,Inactive
371,Operations,2021-03-12,2022-11-03,Inactive
372,HR,2022-01-16,,Active
373,IT,2022-11-11,,Active
374,Sales,2021-08-25,,Active
375,IT,2023-10-12,,Active
376,Sales,2022-11-13,2023-07-05,Inactive
377,Sales,2021-01-08,,Active
378,Sales,2022-12-12,,Active
379,Operations,2022-12-22,2023-11-18,Inactive
380,HR,2022-01-13,,Active
381,Marketing,2021-07-22,,Active
382,Operations,2023-03-31,,Active
383,Operations,2022-03-19,,Active
384,Sales,2021-07-29,,Active
385,Marketing,2021-05-31,,Active
386,Finance,2023-09-23,,Active
387,Finance,2023-08-22,2023-12-09,Inactive
388,HR,2022-08-29,2023-11-29,Inactive
389,Sales,2023-08-01,,Active
390,Sales,2023-05-19,2023-05-21,Inactive
391,Sales,2021-04-20,2023-06-08,Inactive
392,IT,2023-07-01,,Active
393,Finance,2023-03-28,,Active
394,Operations,2023-02-25,,Active
395,Finance,2023-07-03,2023-12-15,Inactive
396,Finance,2022-10-31,2023-01-10,Inactive
397,IT,2023-11-27,2023-12-23,Inactive
398,Marketing,2021-08-29,2023-12-19,Inactive
399,Sales,2021-08-25,,Active
400,Marketing,2022-10-22,,Active
401,Operations,2021-04-27,2021-05-09,Inactive
402,Sales,2021-05-28,,Active
403,Finance,2021-07-13,2022-10-18,Inactive
404,Marketing,2021-05-29,,Active
405,HR,2023-05-23,2023-07-29,Inactive
406,Marketing,2023-03-27,2023-08-26,Inactive
407,Sales,2023-11-16,,Active
408,HR,2021-03-31,,Active
409,Finance,2023-11-17,,Active
410,Marketing,2022-09-01,,Active
411,Finance,2021-08-29,2022-03-31,Inactive
412,HR,2023-03-18,2023-03-23,Inactive
413,Marketing,2021-05-09,2022-04-21,Inactive
414,Finance,2022-08-27,2023-04-15,Inactive
415,Operations,2021-04-08,2021-05-23,Inactive
416,Sales,2021-12-07,,Active
417,IT,2023-07-07,2023-09-12,Inactive
418,HR,2023-12-04,,Active
419,Marketing,2021-10-10,,Active
420,Sales,2021-12-08,2023-02-12,Inactive
421,Operations,2021-09-14,,Active
422,Sales,2023-08-02,,Active
423,HR,2023-10-27,2023-11-19,Inactive
424,Marketing,2021-06-16,,Active
425,IT,2023-08-18,2023-10-12,Inactive
426,IT,2021-10-09,,Active
427,HR,2021-09-23,2022-03-27,Inactive
428,Operations,2023-03-12,2023-06-21,Inactive
429,HR,2022-04-11,2023-06-27,Inactive
430,Operations,2023-08-01,2023-12-30,Inactive
431,Operations,2021-12-19,2022-04-21,Inactive
432,Operations,2023-11-22,2023-12-30,Inactive
433,IT,2023-10-30,,Active
434,Operations,2021-06-11,,Active
435,IT,2022-06-06,,Active
436,IT,2023-02-24,2023-05-02,Inactive
437,IT,2022-08-16,,Active
438,Marketing,2021-04-15,2022-05-27,Inactive
439,Sales,2023-10-23,,Active
440,Marketing,2022-11-02,2023-05-03,Inactive
441,Finance,2023-06-22,,Active
442,Sales,2021-01-07,2022-12-31,Inactive
443,Sales,2022-11-21,2023-01-06,Inactive
444,Operations,2022-04-09,,Active
445,Operations,2022-07-25,2022-08-11,Inactive
446,Marketing,2023-08-11,2023-08-18,Inactive
447,IT,2022-04-13,2023-09-25,Inactive
448,Finance,2023-06-01,2023-11-08,Inactive
449,Operations,2021-01-26,,Active
450,Operations,2021-10-01,2023-04-19,Inactive
451,IT,2022-07-06,,Active
452,Sales,2021-11-20,2023-01-03,Inactive
453,Operations,2021-04-28,2022-04-26,Inactive
454,Operations,2022-06-23,,Active
455,Operations,2023-07-14,2023-09-16,Inactive
456,Marketing,2021-07-25,,Active
457,Sales,2021-11-08,2022-08-11,Inactive
458,Finance,2023-08-12,2023-08-15,Inactive
459,IT,2022-06-10,,Active
460,Marketing,2022-08-27,,Active
461,Marketing,2021-12-10,2022-03-14,Inactive
462,Marketing,2023-06-05,,Active
463,Operations,2022-06-25,,Active
464,HR,2021-03-01,2022-01-10,Inactive
465,Finance,2021-10-01,,Active
466,Operations,2022-03-29,2022-10-19,Inactive
467,Operations,2021-10-10,,Active
468,Sales,2023-06-04,2023-10-25,Inactive
469,Finance,2023-07-09,2023-10-13,Inactive
470,Finance,2022-04-10,,Active
471,Sales,2022-01-10,2023-01-05,Inactive
472,HR,2023-11-27,,Active
473,Finance,2021-12-28,2022-08-12,Inactive
474,Marketing,2023-09-11,2023-11-11,Inactive
475,Sales,2022-02-28,2022-08-23,Inactive
476,IT,2021-09-28,2023-08-23,Inactive
477,Finance,2022-07-23,,Active
478,Sales,2022-11-10,2023-01-20,Inactive
479,Operations,2023-07-25,,Active
480,Marketing,2023-10-09,2023-12-29,Inactive
481,Finance,2021-05-06,2021-11-08,Inactive
482,Operations,2022-10-18,2023-04-08,Inactive
483,Finance,2022-01-05,,Active
484,IT,2022-01-12,,Active
485,Operations,2022-09-19,,Active
486,Sales,2022-04-17,2023-09-18,Inactive
487,HR,2021-10-16,2023-02-25,Inactive
488,HR,2023-12-25,,Active
489,Marketing,2023-06-08,2023-11-10,Inactive
490,HR,2022-11-15,2022-12-10,Inactive
491,Marketing,2021-01-07,,Active
492,Sales,2021-01-14,2022-12-17,Inactive
493,IT,2021-01-26,,Active
494,HR,2021-02-18,2022-11-13,Inactive
495,Sales,2022-03-24,,Active
496,Operations,2021-02-26,,Active
497,Operations,2023-08-01,2023-10-17,Inactive
498,Sales,2023-10-06,2023-10-08,Inactive
499,Operations,2022-06-30,2023-03-23,Inactive
500,Marketing,2022-12-29,,Active
501,Marketing,2021-01-12,2021-09-29,Inactive
502,Sales,2021-05-29,,Active
503,IT,2022-07-23,,Active
504,IT,2023-11-26,,Active
505,Operations,2022-12-21,2022-12-27,Inactive
506,IT,2023-11-24,2023-12-13,Inactive
507,Operations,2022-04-20,2023-05-22,Inactive
508,Marketing,2021-08-01,,Active
509,Finance,2023-02-02,2023-04-05,Inactive
510,IT,2022-03-11,2023-12-02,Inactive
511,IT,2021-07-19,2021-12-19,Inactive
512,Marketing,2021-07-01,2021-07-21,Inactive
513,Finance,2022-03-29,2023-07-15,Inactive
514,Finance,2021-04-30,2023-09-18,Inactive
515,Finance,2021-01-09,,Active
516,Finance,2023-06-29,,Active
517,Sales,2021-07-04,,Active
518,Finance,2023-04-22,2023-10-09,Inactive
519,Finance,2021-09-18,,Active
520,Marketing,2021-04-21,2022-08-30,Inactive
521,IT,2021-07-15,,Active
522,Marketing,2021-04-11,2022-10-23,Inactive
523,IT,2021-02-07,,Active
524,IT,2021-07-12,,Active
525,Sales,2023-11-12,2023-11-16,Inactive
526,Finance,2023-02-18,,Active
527,HR,2021-08-26,,Active
528,Marketing,2023-12-30,,Active
529,HR,2021-07-07,2022-12-07,Inactive
530,Finance,2023-04-29,,Active
531,Sales,2022-10-21,,Active
532,Finance,2021-10-09,,Active
533,Sales,2023-12-02,2023-12-29,Inactive
534,Marketing,2022-01-22,,Active
535,Finance,2021-11-30,2022-12-16,Inactive
536,HR,2022-11-10,,Active
537,Marketing,2022-09-28,2023-08-05,Inactive
538,HR,2023-09-03,2023-12-22,Inactive
539,IT,2021-02-26,,Active
540,Operations,2022-10-31,,Active
541,Marketing,2023-01-26,2023-08-29,Inactive
542,Operations,2021-10-05,,Active
543,Operations,2021-08-15,,Active
544,Sales,2022-05-23,,Active
545,Sales,2022-11-09,2023-08-02,Inactive
546,Marketing,2023-03-15,,Active
547,HR,2021-11-11,2023-01-06,Inactive
548,Finance,2023-03-29,,Active
549,Finance,2023-12-21,,Active
550,Finance,2023-09-24,,Active
551,HR,2021-07-04,,Active
552,Operations,2022-02-05,,Active
553,HR,2022-02-16,2023-08-25,Inactive
554,Sales,2021-01-20,,Active
555,IT,2023-04-12,,Active
556,HR,2022-11-03,2022-11-06,Inactive
557,Sales,2021-06-08,2021-08-10,Inactive
558,Operations,2023-05-14,,Active
559,Operations,2023-07-18,2023-08-29,Inactive
560,Operations,2021-02-20,2023-05-05,Inactive
561,HR,2022-01-15,2023-02-10,Inactive
562,Marketing,2021-02-13,2021-03-31,Inactive
563,IT,2022-01-11,,Active
564,Sales,2022-08-06,2023-04-08,Inactive
565,Sales,2022-08-12,,Active
566,Sales,2021-11-26,2023-01-04,Inactive
567,Sales,2021-08-01,,Active
568,Marketing,2022-12-29,2023-05-13,Inactive
569,Marketing,2023-12-02,,Active
570,Operations,2023-12-08,,Active
571,Finance,2023-12-18,,Active
572,Finance,2023-06-29,,Active
573,Finance,2022-11-28,,Active
574,Operations,2021-04-04,2022-10-07,Inactive
575,Operations,2022-12-25,,Active
576,IT,2022-07-31,2023-01-28,Inactive
577,IT,2021-05-08,,Active
578,IT,2021-10-27,2022-04-02,Inactive
579,Finance,2022-07-11,,Active
580,Sales,2022-06-13,,Active
581,Finance,2023-10-06,,Active
582,Sales,2021-07-24,,Active
583,IT,2022-05-17,,Active
584,Finance,2023-12-25,,Active
585,Operations,2022-11-30,2023-03-27,Inactive
586,Finance,2022-11-04,,Active
587,Sales,2023-02-10,2023-08-25,Inactive
588,IT,2023-04-29,,Active
589,Operations,2022-02-10,,Active
590,Operations,2021-08-05,,Active
591,IT,2022-04-16,,Active
592,HR,2022-12-27,2023-08-22,Inactive
593,Operations,2023-09-04,2023-12-15,Inactive
594,Marketing,2021-03-17,,Active
595,IT,2023-08-28,2023-09-17,Inactive
596,Operations,2022-07-08,2023-09-04,Inactive
597,Operations,2023-10-16,2023-12-10,Inactive
598,IT,2022-12-04,,Active
599,Operations,2023-11-20,2023-12-27,Inactive
600,IT,2021-12-29,,Active
601,HR,2021-09-27,2023-04-03,Inactive
602,Finance,2021-03-05,2022-03-23,Inactive
603,Marketing,2023-04-02,2023-10-26,Inactive
604,Sales,2022-06-16,2023-02-24,Inactive
605,HR,2022-08-17,,Active
606,Operations,2021-02-08,,Active
607,Sales,2021-03-22,,Active
608,Operations,2023-02-02,,Active
609,Marketing,2022-09-10,2023-11-06,Inactive
610,Operations,2023-04-27,2023-10-01,Inactive
611,Sales,2022-07-01,,Active
612,Operations,2023-04-13,2023-06-14,Inactive
613,HR,2022-02-10,,Active
614,HR,2022-12-02,,Active
615,Operations,2021-05-31,2022-05-23,Inactive
616,Operations,2022-03-04,,Active
617,HR,2023-05-07,2023-06-06,Inactive
618,IT,2022-03-01,2022-04-29,Inactive
619,Marketing,2023-02-22,2023-05-29,Inactive
620,IT,2022-02-05,,Active
621,Marketing,2021-12-04,2022-07-03,Inactive
622,Sales,2021-10-20,2022-07-06,Inactive
623,Finance,2022-04-25,2022-09-21,Inactive
624,Operations,2023-08-27,,Active
625,IT,2021-03-08,2022-03-02,Inactive
626,Sales,2021-03-09,2022-04-22,Inactive
627,Finance,2023-12-25,2023-12-26,Inactive
628,Operations,2023-02-17,,Active
629,Operations,2023-10-24,2023-12-20,Inactive
630,Finance,2021-11-15,2023-09-15,Inactive
631,Marketing,2023-08-20,,Active
632,Finance,2023-06-11,,Active
633,IT,2023-04-12,,Active
634,IT,2021-06-20,,Active
635,Sales,2023-06-18,,Active
636,HR,2021-02-15,2022-02-14,Inactive
637,HR,2022-09-09,2023-09-19,Inactive
638,IT,2021-09-16,2023-02-19,Inactive
639,HR,2023-02-21,2023-09-27,Inactive
640,HR,2022-11-10,,Active
641,HR,2023-10-26,2023-11-19,Inactive
642,Marketing,2021-03-25,,Active
643,Sales,2021-05-03,,Active
644,Operations,2023-09-07,,Active
645,HR,2022-05-12,2023-03-19,Inactive
646,IT,2023-01-14,2023-06-28,Inactive
647,Sales,2023-08-11,,Active
648,Operations,2023-10-03,,Active
649,Finance,2021-10-02,2023-08-19,Inactive
650,HR,2022-04-01,,Active
651,Operations,2021-09-24,2021-12-06,Inactive
652,Operations,2023-07-09,2023-07-21,Inactive
653,HR,2022-10-10,,Active
654,IT,2023-08-06,,Active
655,Marketing,2021-06-25,,Active
656,HR,2021-04-21,,Active
657,HR,2021-11-16,,Active
658,Finance,2021-07-02,,Active
659,HR,2023-04-02,2023-08-17,Inactive
660,HR,2023-12-16,2023-12-27,Inactive
661,Marketing,2022-12-12,2023-03-31,Inactive
662,IT,2021-08-24,2023-09-05,Inactive
663,HR,2021-12-14,2022-01-26,Inactive
664,Sales,2023-11-14,2023-12-28,Inactive
665,Finance,2021-11-06,2022-08-05,Inactive
666,Marketing,2023-07-19,2023-09-26,Inactive
667,IT,2022-01-12,,Active
668,Operations,2023-01-28,2023-07-14,Inactive
669,IT,2022-05-27,,Active
