CompanyID,Department,Year,Quarter,Revenue,Expenses,Profit,ProfitMargin,EmployeeCount,EmployeeTurnoverRate,AverageSalary,CustomerSatisfaction,NetPromoterScore,MarketSharePercentage,ProductivityScore,RevenuePerEmployee,TrainingHoursPerEmployee,NewCustomers,CustomerRetentionRate,OperatingCostRatio
85,Finance,2021,Q2,937366,67101,224857,0.22,30,0.1,43671,6.9,-33,5.45,76.6,15066.05,42.3,342,0.66,0.58
80,Marketing,2021,Q3,515547,340160,19597,0.5,70,0.11,110477,5.8,-33,22.69,95.0,21639.04,14.6,116,0.79,0.52
82,IT,2022,Q3,483426,724292,70067,0.29,44,0.16,118002,5.9,-18,43.24,62.6,12480.29,36.9,73,0.88,0.63
53,Finance,2022,Q4,808032,487869,228592,0.49,57,0.09,90756,8.3,-24,23.47,95.4,34971.07,23.9,171,0.8,0.59
24,Sales,2021,Q2,191891,664769,58022,0.44,24,0.14,84959,7.0,-2,37.4,72.4,32660.37,8.5,98,0.77,0.9
26,Finance,2023,Q1,570076,627090,222996,0.06,80,0.09,110124,5.8,92,36.14,82.6,33457.8,38.9,198,0.63,0.64
89,Marketing,2021,Q3,849045,843981,384817,0.37,24,0.09,68080,6.5,57,14.25,70.8,15115.89,39.3,234,0.64,0.62
60,Operations,2022,Q2,168754,260005,421998,0.36,15,0.15,64544,7.7,17,25.23,99.4,16093.81,17.2,299,0.69,1.0
41,Sales,2023,Q2,972109,730722,61782,0.29,90,0.04,116347,5.6,48,30.48,62.9,40432.56,46.2,474,0.78,0.58
29,Marketing,2022,Q4,988752,622130,475360,0.17,77,0.07,58733,5.0,-32,37.2,77.9,36055.03,39.4,194,0.95,0.54
15,Operations,2022,Q1,496053,96539,196085,0.34,31,0.05,94211,9.6,-26,42.01,84.8,44383.09,18.8,292,0.88,0.65
45,Sales,2023,Q4,487405,608005,382860,0.1,41,0.08,80696,6.5,53,39.2,84.6,23157.76,15.8,414,0.64,0.7
65,HR,2021,Q1,613904,820569,390174,0.25,31,0.05,88093,6.1,25,6.27,89.6,29629.75,24.8,407,0.85,0.88
89,IT,2021,Q1,467482,466232,344180,0.25,36,0.12,87042,8.5,25,35.18,89.0,38245.0,18.2,198,0.88,0.98
71,IT,2021,Q3,664365,236272,307486,0.48,24,0.16,93516,9.3,55,27.38,91.7,48836.97,14.8,117,0.74,0.88
9,Marketing,2021,Q2,442059,523484,95745,0.44,53,0.16,77487,8.2,-18,30.82,69.4,49533.43,23.0,273,0.72,0.86
88,Operations,2023,Q2,759599,503503,424193,0.17,95,0.08,80849,6.3,-14,21.78,74.8,49962.89,6.2,259,0.8,1.0
1,IT,2023,Q2,341504,165042,244648,0.28,18,0.2,54550,9.3,41,37.13,75.3,45073.69,23.1,241,0.78,0.88
8,Operations,2023,Q1,391813,177922,329540,0.13,43,0.12,116400,7.6,73,35.32,98.2,33784.29,15.0,349,0.69,0.57
88,Operations,2022,Q2,935056,142447,124836,0.46,82,0.09,89699,6.9,-8,31.08,76.4,5313.69,16.9,173,0.74,0.73
63,Marketing,2023,Q3,961579,395546,116998,0.44,24,0.17,118160,8.0,75,43.77,68.9,36479.47,8.7,333,0.79,0.75
11,Marketing,2021,Q1,759510,354751,60021,0.18,71,0.15,108897,8.5,-42,9.59,85.3,15736.98,31.5,341,0.8,0.65
81,Marketing,2022,Q1,766469,208693,472273,0.34,54,0.15,53707,8.0,-37,18.55,77.1,7572.52,26.2,470,0.79,0.58
8,IT,2021,Q1,855110,62823,140672,0.32,93,0.05,41924,9.6,80,27.28,70.0,36373.3,38.8,432,0.9,0.86
35,Marketing,2021,Q1,781376,79986,390703,0.12,81,0.1,118183,8.1,18,48.14,88.6,39020.49,49.4,349,0.61,0.64
35,IT,2023,Q3,767296,695970,338980,0.39,67,0.17,69018,9.4,-25,8.24,67.7,34674.49,10.4,99,0.72,0.81
33,Marketing,2023,Q2,242108,638613,430291,0.29,28,0.11,61031,7.9,76,20.17,85.3,21432.64,17.3,418,0.86,0.66
5,Finance,2021,Q3,245093,560119,230587,0.4,25,0.14,105164,6.6,2,46.67,77.2,27995.19,35.7,232,0.83,0.75
41,Operations,2021,Q2,613694,440069,434018,0.29,84,0.12,108237,7.7,-10,45.41,72.8,47072.64,15.7,296,0.92,0.67
28,Marketing,2022,Q3,923375,300476,218833,0.05,17,0.17,89573,5.4,31,43.94,97.8,37832.49,6.4,137,0.81,0.71
7,Sales,2023,Q4,213694,107771,87017,0.2,42,0.06,56719,6.2,51,18.88,73.0,27710.79,9.9,187,0.82,0.87
73,Operations,2022,Q4,334456,104973,489969,0.06,83,0.12,49718,8.8,-30,43.11,73.9,31705.21,24.5,87,0.85,0.94
72,Operations,2022,Q4,312079,720050,251421,0.47,27,0.03,40056,8.3,70,27.74,94.8,46745.76,24.4,98,0.67,0.75
12,Marketing,2022,Q4,344269,875539,196894,0.45,44,0.14,55352,5.8,-12,32.89,65.2,22720.21,48.8,121,0.86,0.81
34,HR,2021,Q1,543232,632176,454819,0.42,52,0.15,87820,7.2,18,15.75,64.3,9582.97,26.0,307,0.7,0.93
33,Marketing,2022,Q1,516460,585244,374833,0.19,59,0.02,108683,5.7,24,36.8,71.3,19662.18,35.5,93,0.75,0.57
48,Operations,2022,Q3,556243,136839,90291,0.08,12,0.14,109073,9.3,11,19.75,83.7,23684.01,27.1,340,0.6,0.58
23,Sales,2021,Q3,869673,217605,362594,0.45,68,0.09,40721,5.5,-6,20.47,75.4,17283.37,17.1,165,0.9,0.68
62,Operations,2023,Q4,223351,566754,176664,0.48,37,0.03,91969,8.3,-24,33.66,84.3,28803.76,9.7,198,0.93,0.65
88,Sales,2023,Q2,401129,151131,66006,0.09,55,0.09,80194,8.0,65,15.79,66.4,18718.6,43.7,362,0.62,0.99
37,IT,2022,Q4,940268,379738,429485,0.27,73,0.05,86556,7.4,91,15.1,70.5,9643.08,11.9,396,0.82,0.78
99,Finance,2021,Q3,986146,762261,114268,0.08,79,0.09,86775,6.4,-10,21.61,82.6,13463.08,9.4,328,0.94,0.76
44,Operations,2023,Q4,628058,585807,322282,0.39,56,0.08,119882,7.0,55,40.01,68.7,46317.02,14.6,337,0.81,0.79
86,Marketing,2022,Q3,929297,736475,72398,0.39,23,0.15,79883,9.0,23,15.11,76.9,33331.8,5.1,267,0.88,0.94
91,IT,2022,Q4,153811,51832,231163,0.11,16,0.16,50911,8.8,9,40.43,82.9,19143.89,8.2,120,0.64,0.62
35,Finance,2021,Q2,366145,531641,160946,0.26,83,0.13,105795,8.7,-9,36.3,98.9,21511.31,33.6,210,0.69,0.76
65,Marketing,2022,Q4,685136,688210,329372,0.3,88,0.01,60872,8.7,71,35.56,63.2,27202.24,16.0,322,0.72,0.64
99,HR,2023,Q2,152635,155474,334814,0.17,40,0.19,114327,5.7,-40,26.36,78.4,35290.85,20.2,176,0.94,0.89
47,Marketing,2021,Q2,120946,644003,135613,0.44,90,0.14,113072,5.5,96,38.56,75.9,31198.1,42.6,219,0.87,0.89
78,Sales,2023,Q3,720140,647654,112071,0.24,60,0.02,84537,9.3,67,5.61,93.0,46971.42,39.8,66,0.91,0.98
3,Sales,2023,Q2,453247,87570,120572,0.15,38,0.17,56860,9.2,14,18.75,96.0,33158.7,27.2,353,0.77,0.72
1,HR,2023,Q1,585260,531193,257766,0.29,24,0.05,110819,8.4,-4,35.56,96.3,45985.64,32.6,288,0.85,0.58
5,IT,2022,Q1,930176,711975,148997,0.38,99,0.12,70743,8.0,-37,49.43,75.0,5244.36,8.9,225,0.86,0.95
90,Finance,2022,Q1,217729,88311,275251,0.14,85,0.1,82559,6.8,16,5.11,72.2,45075.18,39.3,259,0.8,0.95
14,Marketing,2023,Q3,794519,402389,96388,0.19,34,0.09,112941,6.1,58,27.95,78.0,37465.64,28.2,106,0.91,0.62
27,Sales,2023,Q1,385815,677475,105719,0.5,70,0.18,72205,8.3,-41,46.57,73.8,12748.71,30.7,408,0.66,0.64
9,IT,2021,Q3,771810,859866,128018,0.34,50,0.09,57645,9.6,73,43.86,88.8,16836.71,34.9,238,0.62,0.66
79,HR,2021,Q3,550491,136879,299761,0.25,78,0.02,111859,7.2,-34,6.04,68.5,29426.45,27.5,93,0.71,0.73
15,Operations,2022,Q1,528734,590027,84258,0.28,13,0.19,111473,6.5,92,28.83,86.3,10622.22,28.5,456,0.63,0.91
90,Sales,2022,Q2,419957,116202,322219,0.1,66,0.18,90734,6.4,46,5.19,97.1,40341.57,27.5,171,0.62,0.57
42,HR,2021,Q4,196748,148580,136998,0.15,40,0.14,70431,5.1,6,40.53,71.2,40602.82,27.4,358,0.75,0.85
77,Marketing,2023,Q3,863580,798779,294775,0.2,12,0.1,100914,7.6,87,18.9,87.1,18542.7,38.8,82,0.67,0.68
51,Finance,2022,Q1,500022,129599,133120,0.31,76,0.03,57882,9.9,20,39.45,65.7,8141.77,24.2,361,0.88,0.6
63,Sales,2023,Q3,729021,739009,203516,0.15,99,0.16,118539,9.1,46,47.52,64.9,49498.14,5.1,77,0.8,0.67
96,Sales,2021,Q2,226865,805724,369302,0.15,59,0.02,83346,9.5,-34,48.92,64.6,16282.8,32.5,200,0.73,0.77
52,Marketing,2022,Q2,445695,691058,411099,0.08,26,0.02,52979,8.1,25,45.24,65.5,8040.14,47.9,112,0.7,0.96
96,Operations,2022,Q1,401364,351614,422924,0.33,69,0.11,84828,7.4,-34,14.19,68.6,19848.42,16.6,56,0.8,0.81
4,IT,2021,Q3,379302,387109,56221,0.15,83,0.04,47228,10.0,60,13.76,82.5,48605.15,41.7,160,0.75,0.8
94,Finance,2022,Q4,967424,437476,158269,0.46,75,0.01,114836,7.2,69,33.16,90.7,40681.74,25.5,179,0.62,0.55
23,Sales,2021,Q4,686864,753981,424350,0.44,97,0.09,114217,9.6,93,29.48,65.1,26614.99,33.9,498,0.83,0.54
15,Finance,2022,Q3,974459,441825,378066,0.08,84,0.04,113803,8.8,68,5.43,94.8,18739.87,45.1,181,0.77,0.56
43,Sales,2021,Q3,255260,835339,43550,0.16,33,0.04,110908,6.7,27,22.63,93.7,24048.77,39.7,57,0.7,0.55
29,Finance,2022,Q3,323687,688588,286786,0.35,96,0.02,78918,7.5,-48,45.8,89.1,5781.45,44.8,431,0.7,0.79
36,HR,2023,Q1,420974,350141,423655,0.15,41,0.05,50920,6.9,57,45.43,77.0,37326.67,5.4,354,0.76,0.73
13,Sales,2023,Q2,759379,241012,116093,0.11,96,0.15,67785,5.7,0,14.18,60.1,9483.99,13.4,78,0.89,0.5
32,Finance,2023,Q4,112419,746084,427799,0.47,28,0.16,65178,6.8,63,22.19,89.4,28356.69,24.1,387,0.75,0.68
71,IT,2022,Q1,657985,212776,271188,0.31,75,0.1,111997,9.4,43,30.22,95.2,30463.03,43.2,360,0.89,0.56
59,HR,2022,Q3,447076,434346,103885,0.26,69,0.11,54052,8.8,65,43.38,73.4,5076.04,42.7,470,0.75,0.99
86,HR,2023,Q3,481856,471607,89538,0.4,75,0.02,112868,6.4,54,28.94,88.7,49094.54,13.3,400,0.89,0.73
28,IT,2023,Q2,597784,816230,334158,0.41,24,0.02,89383,6.8,48,48.57,62.5,18596.26,11.4,55,0.93,0.71
66,Finance,2021,Q3,719716,52526,291667,0.14,94,0.06,40327,8.1,25,40.96,88.4,8475.09,42.6,457,0.61,0.82
42,Marketing,2021,Q1,763333,318718,382429,0.09,44,0.11,110775,7.1,30,47.89,62.7,43447.49,29.4,161,0.62,0.68
45,IT,2021,Q1,863361,320877,211615,0.24,78,0.15,115614,7.5,21,37.92,83.5,11837.87,33.2,154,0.65,0.86
62,Finance,2023,Q2,710937,362434,489187,0.24,36,0.12,47038,8.5,96,44.49,83.9,6122.98,41.4,256,0.64,0.95
57,IT,2023,Q1,484793,384937,115879,0.26,97,0.08,48048,7.3,92,42.4,72.1,27261.08,14.5,89,0.76,0.75
6,IT,2023,Q4,373280,86051,100629,0.38,16,0.03,54954,6.0,60,16.42,63.2,10846.26,11.1,317,0.87,0.69
28,Sales,2021,Q1,971171,65909,348974,0.35,15,0.16,97541,7.6,7,15.33,98.0,49209.04,43.7,369,0.94,0.76
28,Finance,2022,Q1,948934,532898,317682,0.49,42,0.08,85471,6.8,27,43.9,81.4,5468.49,10.0,95,0.75,0.8
44,Marketing,2023,Q1,262357,127338,319454,0.09,67,0.15,108315,6.5,-3,8.81,83.2,7303.88,9.0,290,0.84,0.92
84,Sales,2022,Q4,909471,570551,414124,0.23,58,0.11,53225,6.6,5,23.39,84.6,42497.78,17.5,319,0.82,0.7
30,IT,2022,Q3,953152,340277,125266,0.2,26,0.15,53531,7.2,-9,41.93,95.6,15788.83,19.3,204,0.74,0.53
62,Operations,2022,Q1,223168,756931,198362,0.44,51,0.18,110871,9.4,-27,41.6,62.4,46021.85,15.9,165,0.85,0.82
75,IT,2021,Q2,712551,653350,456850,0.16,81,0.18,49530,8.7,59,11.25,95.7,19001.17,38.4,86,0.81,0.99
92,IT,2022,Q4,159155,231980,284843,0.14,49,0.11,99035,8.3,1,26.95,69.6,8140.22,48.8,254,0.87,0.93
89,Finance,2023,Q2,116911,454494,241241,0.25,55,0.11,64791,7.4,-17,26.59,63.1,5476.63,14.0,298,0.67,0.88
62,Finance,2021,Q1,625204,423690,261249,0.24,80,0.06,41649,5.0,-48,19.57,86.3,17715.53,40.2,159,0.73,0.59
97,Sales,2023,Q2,945484,625746,76912,0.18,79,0.19,53472,6.7,17,46.27,99.1,26317.88,7.0,367,0.83,0.87
1,Marketing,2023,Q1,562326,891847,155327,0.16,77,0.1,108398,9.1,88,34.39,62.3,5045.72,10.4,372,0.64,0.54
27,Sales,2021,Q4,856983,796447,89183,0.47,10,0.03,67134,6.9,90,49.11,77.0,31149.82,28.2,129,0.87,0.75
62,HR,2023,Q2,379934,890592,70282,0.25,88,0.09,106453,7.8,-1,8.0,81.2,20014.77,50.0,125,0.65,0.69
77,IT,2023,Q2,576377,366543,68249,0.44,98,0.03,52444,6.0,31,22.75,70.1,22556.91,47.7,319,0.71,0.95
3,Operations,2021,Q1,498422,861730,48176,0.3,61,0.11,81121,9.6,-32,42.58,99.3,16763.49,10.0,147,0.68,0.58
70,IT,2023,Q1,221937,281946,18163,0.07,44,0.12,78217,9.6,-7,24.02,85.6,28807.03,15.8,472,0.62,0.89
72,IT,2022,Q3,185053,727551,326354,0.5,78,0.07,62066,5.7,-48,16.78,93.8,15355.52,47.6,438,0.69,0.52
27,Sales,2023,Q1,412094,500180,133844,0.43,14,0.02,108347,8.6,62,49.9,76.6,11066.99,11.8,125,0.92,0.85
